Name,log mass (log kg),Semi-major axis (km),Orbital period (days),Inclination (deg),Eccentricity,Discovery year,Group,Surface gravity (m/s²),Surface composition,Atmosphere composition,Radiation levels (mSv/year),Temperature range (C),Solar energy (W/m²),Water presence (Y/N),Potential biosignatures,Resource Availability (tons/km²),Extraction Rate (tons/year),Replenishment Rate (tons/year),Crust Stability Index,Operational Risk Factor,Years of Sustainable Extraction
Metis,16.5563025,127690,7.07,0.06,0.0,1979,Inner,0.0956785,Rocky/Icy,None,0.078314668,-150 to -100,50.25786998,N,Detected,391,1,3.60755216258888,7,4,1.0
Adrastea,15.30103,128690,7.17,0.03,0.0015,1979,Inner,0.0956785,Rocky/Icy,SO2,0.077706115,-150 to -100,49.47983590139872,N,Not Detected,221,1,4.624594986365618,8,4,1.0
Amalthea,18.31806333,181366,11.95,0.374,0.0032,1892,Inner,0.0956785,Rocky/Icy,CO2,0.055137126,-150 to -100,24.91185702871839,Y,Detected,247,1,9.774935995340659,9,4,1.0
Thebe,17.63346846,221889,16.16,1.076,0.0175,1979,Inner,0.0956785,Rocky/Icy,CO2,0.045067579,-150 to -100,16.643563088830888,Y,Detected,234,1,9.346709883991393,8,1,1.0
Io,22.95094385,421700,1.769,0.05,0.0041,1610,Galilean,0.0956785,Rocky with Ice,None,0.02371354,-180 to -110,4.607980688686944,Y,Not Detected,545,1,7.062279941295831,4,5,1.0
Europa,22.68124124,671034,3.551,0.471,0.0094,1610,Galilean,0.0956785,Rocky with Ice,CO2,0.014902375,-180 to -110,1.8198215401330964,Y,Detected,330,1,2.138371627143079,4,5,1.0
Ganymede,23.1708189,1070412,7.154,0.204,0.0011,1610,Galilean,0.0956785,Rocky with Ice,O2,0.009342197,-180 to -110,0.7151809108820311,Y,Detected,311,1,1.3846254774456508,4,5,1.0
Callisto,23.03177191,1882709,16.689,0.205,0.0074,1610,Galilean,0.0956785,Rocky with Ice,CO2,0.005311495,-180 to -110,0.2311806364410314,Y,Detected,698,1,1.3542293615775645,6,3,1.0
Themisto,14.83884909,7393216,129.87,45.762,0.2115,1975,*Themisto*,0.0956785,Organics,SO2,0.001352591,-200 to -150,0.0149917062142301,N,Detected,135,1,0.1945014797501603,5,1,167.59807325049752
Leda,15.77815125,11187781,240.82,27.562,0.1673,1974,Himalia,0.0956785,Silicates,SO2,0.000893832,-200 to -150,0.0065468130492716,Y,Not Detected,181,1,2.6707831912853575,5,1,1.0
Himalia,18.8260748,11451971,250.23,30.486,0.1513,1904,Himalia,0.0956785,Organics,SO2,0.000873212,-200 to -150,0.0062482352584947,Y,Detected,101,1,6.087753516923483,5,1,1.0
Lysithea,16.79934055,11740560,259.89,27.006,0.1322,1938,Himalia,0.0956785,Organics,SO2,0.000851748,-200 to -150,0.0059448407835964,Y,Not Detected,169,1,3.522079280268225,5,1,1.0
Elara,17.93951925,11778034,257.62,29.691,0.1948,1905,Himalia,0.0956785,Organics,O2,0.000849038,-200 to -150,0.0059070717365029,N,Detected,68,1,0.3274982725130488,3,3,101.11498189619064
S/2000 J 11,13.95424251,12570424,287.93,27.584,0.2058,2001,Himalia?,0.0956785,Organics,H2O,0.000795518,-200 to -150,0.0051858266955396,Y,Detected,77,1,8.04242604393868,3,3,1.0
Carpo,13.60205999,17144873,458.62,56.001,0.2735,2003,*Carpo*,0.0956785,Mixed,None,0.000583265,-200 to -150,0.002787721005491,Y,Detected,107,1,8.938961459373978,5,1,1.0
S/2003 J 12,13.0,17739539,482.69,142.68,0.4449,2003,*?*,0.0956785,Water Ice,SO2,0.000563713,-200 to -150,0.0026039533122431,N,Detected,521,1,0.2731290372319885,5,1,716.7709630550789
Euporie,13.0,19088434,538.78,144.694,0.096,2002,Ananke,0.0956785,Water Ice & Organics,CO2,0.000523877,-200 to -150,0.0022489368002034,Y,Not Detected,565,1,2.6152280502043634,5,1,1.0
S/2003 J 3,13.0,19621780,561.52,146.363,0.2507,2003,Ananke,0.0956785,Water Ice & Organics,SO2,0.000509638,-200 to -150,0.0021283402008832,Y,Not Detected,546,1,1.8511553371369789,4,3,1.0
S/2003 J 18,13.0,19812577,569.73,147.401,0.1569,2003,Ananke,0.0956785,Water Ice & Organics,CO2,0.00050473,-200 to -150,0.0020875453435206,Y,Detected,477,1,4.444481702263387,4,3,1.0
S/2011 J 1,13.0,20155290,582.22,162.8,0.2963,2011,*?*,0.0956785,Organics,CO2,0.000496148,-200 to -150,0.0020171572236185,Y,Detected,181,1,9.272403064612446,4,3,1.0
S/2010 J 2,13.0,20307150,588.36,150.4,0.307,2010,Ananke?,0.0956785,Silicates,SO2,0.000492437,-200 to -150,0.0019871008029662,Y,Not Detected,183,1,2.2760861244405803,4,3,1.0
Thelxinoe,13.0,20453753,597.61,151.292,0.2684,2003,Ananke,0.0956785,Water Ice & Organics,O2,0.000488908,-200 to -150,0.001958717656466,N,Detected,567,1,0.26743935324659907,5,1,773.997350953616
Euanthe,13.60205999,20464854,598.09,143.409,0.2,2002,Ananke,0.0956785,Water Ice & Organics,CO2,0.000488643,-200 to -150,0.0019565932506581,N,Detected,353,1,0.6374093921408184,4,3,973.5497620420816
Helike,13.95424251,20540266,601.4,154.586,0.1374,2003,Ananke,0.0956785,Water Ice & Organics,CO2,0.000486849,-200 to -150,0.0019422526622855,N,Detected,467,1,0.4504648598516844,4,3,849.8091675701759
Orthosie,13.0,20567971,602.62,142.366,0.2433,2002,Ananke,0.0956785,Water Ice & Organics,SO2,0.000486193,-200 to -150,0.0019370237683928,Y,Not Detected,589,1,2.5784806010306434,6,1,1.0
Iocaste,14.2787536,20722566,609.43,147.248,0.2874,2001,Ananke,0.0956785,Water Ice & Organics,CO2,0.000482566,-200 to -150,0.0019082303079984,Y,Not Detected,304,1,3.0638556683928875,6,1,1.0
S/2003 J 16,13.0,20743779,610.36,150.769,0.3184,2003,Ananke,0.0956785,Water Ice & Organics,CO2,0.000482072,-200 to -150,0.0019043295151813,Y,Not Detected,627,1,3.2836673713507474,4,3,1.0
Praxidike,14.63346846,20823948,613.9,144.205,0.184,2001,Ananke,0.0956785,Water Ice & Organics,SO2,0.000480216,-200 to -150,0.0018896949878227,N,Detected,536,1,0.557231137825222,6,1,1210.5638986610131
Harpalyke,14.07918125,21063814,624.54,147.223,0.244,2001,Ananke,0.0956785,Water Ice & Organics,SO2,0.000474748,-200 to -150,0.0018469019084731,Y,Detected,416,1,5.772995174216868,4,3,1.0
Mneme,13.0,21129786,627.48,149.732,0.3169,2003,Ananke,0.0956785,Water Ice & Organics,None,0.000473266,-200 to -150,0.0018353870165901,Y,Not Detected,347,1,1.3040829690923106,5,1,1.0
Hermippe,13.95424251,21182086,629.81,151.242,0.229,2002,Ananke?,0.0956785,Water Ice,O2,0.000472097,-200 to -150,0.0018263348168059,N,Not Detected,561,1,0.7011910909593231,6,1,1877.4540618654412
Thyone,13.95424251,21405570,639.8,147.276,0.2525,2002,Ananke,0.0956785,Water Ice & Organics,O2,0.000467168,-200 to -150,0.001788398341506,Y,Not Detected,428,1,1.7237065280565922,6,1,1.0
Ananke,16.47712125,21454952,640.38,151.564,0.3445,1951,Ananke,0.0956785,Water Ice & Organics,CO2,0.000466093,-200 to -150,0.0017801752467427,N,Not Detected,567,1,0.4437858795023697,6,1,1019.391595978757
Herse,13.0,22134306,672.75,162.49,0.2379,2003,Carme,0.0956785,Silicates,O2,0.000451787,-200 to -150,0.0016725766638061,N,Detected,181,1,0.9787425775498556,5,1,8514.672953623809
Aitne,13.60205999,22285161,679.64,165.562,0.3927,2002,Carme,0.0956785,Silicates,CO2,0.000448729,-200 to -150,0.0016500089516804,N,Not Detected,143,1,0.6485025101058413,4,3,406.8307857420532
Kale,13.0,22409207,685.32,165.378,0.2011,2002,Carme,0.0956785,Water Ice,None,0.000446245,-200 to -150,0.0016317922859698,Y,Detected,516,1,8.290192712032692,6,1,1.0
Taygete,14.20411998,22438648,686.67,164.89,0.3678,2001,Carme,0.0956785,Mixed,SO2,0.00044566,-200 to -150,0.0016275130549034,Y,Not Detected,113,1,2.572934041978122,5,1,1.0
S/2003 J 19,13.0,22709061,699.12,164.727,0.1961,2003,Carme,0.0956785,Water Ice,SO2,0.000440353,-200 to -150,0.0015889839064555,Y,Detected,541,1,5.789539520401876,5,1,1.0
Chaldene,13.84509804,22713444,699.33,167.07,0.2916,2001,Carme,0.0956785,Water Ice,SO2,0.000440268,-200 to -150,0.0015883707150353,Y,Not Detected,364,1,4.621486075662246,5,1,1.0
S/2003 J 15,13.0,22720999,699.68,141.812,0.0932,2003,Ananke?,0.0956785,Organics,O2,0.000440121,-200 to -150,0.0015873145866795,Y,Not Detected,97,1,7.472055057893532,3,3,1.0
S/2003 J 10,13.0,22730813,700.13,163.813,0.3438,2003,Carme?,0.0956785,Organics,None,0.000439931,-200 to -150,0.0015859442404025,Y,Not Detected,169,1,9.695123127320262,5,1,1.0
